question,expected_answer,generated_answer,exact_match,semantic_similarity,rouge1,rougeL,bleu,meteor,bert_f1,f1_score
"What is the typical tempo range, in beats per minute, for chopped and screwed music?",The tempo range for chopped and screwed music is typically between 60 and 70 quarter-note beats per minute.,"Chopped and screwed music slows the tempo of a song down to 60 and 70 quarter-note beats per minute. This is achieved through techniques like skipping beats, record scratching, and stop-time. This creates a ""chopped-up"" version of the song.",0,0.7684,0.4918,0.3934,0.1848,0.604,0.4094,0.52
What instruments are typically used in raga rock music?,"Indian musical instruments such as the sitar, tambura, and tabla.","Raga rock often incorporates Indian musical instruments. These include the sitar, tambura, and tabla.",0,0.8383,0.6667,0.6667,0.3058,0.6652,0.6696,0.5833
What is dark progressive house?,"In contrast to this trend, dark progressive house emerged as a deep, hypnotic and atmospheric variant of the genre.","Dark progressive house emerged in the early 2000s. It is a hypnotic and atmospheric evolution of progressive house. It is characterized by deep basslines, intricate percussion, and dark synths.",0,0.8683,0.5,0.375,0.0,0.3434,0.4273,0.5116
What are the primary instruments used in Asian underground music?,The primary instruments used in Asian underground music are sitar and tabla. Almost all artists also use an electronic or acoustic drum kit and/or synthesizer.,The primary instruments used in Asian underground music are the sitar and tabla. Almost all artists use an electronic or acoustic drum kit and/or synthesizer. Some groups also use an electric bass.,0,0.9851,0.8814,0.8475,0.6528,0.9689,0.8986,0.9259
What are the characteristics of progressive jazz?,"Progressive jazz is a form of big band that is more complex or experimental and replete with dissonance, atonality, and brash effects.","Progressive jazz is a form of big band music that is more complex or experimental. It originated in the 1940s with arrangers who drew from modernist composers. Its features include dissonance, atonality, and brash effects.",0,0.9526,0.7018,0.7018,0.3956,0.8116,0.6929,0.6667
Name three artists mentioned as part of the modern electro hop scene.,"Three artists mentioned as part of the modern electro hop scene are LMFAO, Pitbull, and Flo Rida.","Three artists mentioned as part of the modern electro hop scene are LMFAO, Pitbull, and Flo Rida. These artists enjoyed mainstream success towards the end of the 2000s and into the 2010s.",0,0.9488,0.6939,0.6939,0.5072,0.871,0.8051,0.7907
Who was one of the earliest composers to use the term experimental music?,John Cage was one of the earliest composers to use the term and one of experimental music's primary innovators.,"The provided text does not explicitly state who was the earliest composer to use the term ""experimental music"". However, it does mention that the term was used in the 1950s by conservative music critics.",0,0.6524,0.3704,0.3704,0.0842,0.3426,0.3177,0.2791
From which compositional tradition does acousmatic music originate?,Acousmatic music stems from a compositional tradition that dates back to the origins of musique concrète in the late 1940s.,"Acousmatic music stems from the compositional tradition that dates back to the origins of musique concrète in the late 1940s. It is a form of electroacoustic music composed specifically for presentation using speakers, as opposed to a live performance. Unlike other musical works, acousmatic compositions often exist solely as fixed media audio recordings.",0,0.873,0.56,0.5333,0.3117,0.8193,0.5851,0.5938
Which French act became the biggest-selling in the UK since Jean-Michel Jarre?,Daft Punk would ultimately become the biggest-selling French act in the UK since Jean-Michel Jarre.,"I am sorry, but the provided context does not contain the answer to your question.",0,0.1471,0.125,0.125,0.0,0.0667,-0.0322,0.0714
How many tone holes does a chalumeau typically have?,A chalumeau typically has eight tone holes.,The chalumeau is distinguished by two keys that cover tone holes drilled diametrically to each other. The position of these tone holes limits its range to only twelve notes.,0,0.8024,0.1667,0.1667,0.0,0.1087,0.4046,0.125
What happened in the first decade of the 16th century?,Some significant compositions were created.,The first decade of the 16th century saw the creation of some significant compositions. These compositions would become some of the most famous of the century.,0,0.6737,0.1935,0.1935,0.0,0.2113,0.3929,0.2609
In which cities did jazz music originate in India?,Jazz music in India originated in Mumbai (formerly known as Bombay) and Kolkata (formerly known as Calcutta).,Jazz music in India originated in Mumbai (formerly known as Bombay) and in Kolkata (formerly known as Calcutta). African-American jazz musicians performed in these cities in the 1920s. These performances inspired Goan musicians.,0,0.9597,0.6667,0.6667,0.439,0.8821,0.7266,0.7027
Name four instruments that might be used in Carnatic music performances.,"Typical instruments used in Carnatic music performances may include the ghatam, kanjira, morsing, venu flute, veena, and chitraveena.","Four instruments that may be used in Carnatic music performances are the ghatam, kanjira, morsing, and venu flute. Other typical instruments include the violin, mridangam, tambura, veena, and chitraveena.",0,0.9434,0.766,0.6383,0.2666,0.859,0.7759,0.7727
What is a flat top guitar and where is the sound hole located?,A flat top guitar is a traditional acoustic guitar that typically has a large sound hole.,A flat top guitar is a type of traditional acoustic guitar. It typically has a large sound hole. The sound hole is located on the top of the guitar.,0,0.9747,0.6667,0.6667,0.3375,0.7018,0.7597,0.7273
What are the key characteristics of Miami Bass music?,"Miami Bass music is known for its explicit lyrics about sex, fast dance beats, and a strong bass with a constant kick drum. The genre is all about parties, drugs, sex, and champagne.","Miami bass music is a subgenre of hip hop that became popular in the 1980s and 1990s. It is characterized by the use of drums from the Roland TR-808, sustained kick drum, heavy bass, raised dance tempos, and frequently sexually explicit lyrical content. The rhythms have a ""stop-start flavor"" with ""hissy"" cymbals.",0,0.8525,0.3908,0.1839,0.0,0.3049,0.3418,0.3056
Who are some popular Bounce artists?,"Popular bounce artists have included DJ Jubilee, Partners-N-Crime, Magnolia Shorty and Big Freedia.","Some popular bounce artists include DJ Jubilee, Partners-N-Crime, Magnolia Shorty, and Big Freedia. Bounce music is a style of New Orleans hip hop. It originated in the city's housing projects as early as the late 1980s.",0,0.8565,0.5185,0.5185,0.1035,0.6852,0.6205,0.4348
When did public awareness of Black MIDI begin to spread from Japan?,Public awareness of Black MIDI spread from Japan to China and Korea in 2009.,"Public awareness of Black MIDI began to spread from Japan to China and Korea in the two years following 2009. This was after the first Black MIDI was employed in Shirasagi Yukki at Kuro Yuki Gohan's rendition of ""U.N. Owen Was Her?""",0,0.8241,0.4828,0.4828,0.2451,0.8005,0.461,0.5833
"Besides musical characteristics, what other defining factor has been associated with hipster hop?","In addition to its musical characteristics, hipster hop has been defined by hipster-inspired fashion.","Hipster-inspired fashion has been associated with hipster hop, including clothing choices like skinny jeans and brightly-colored apparel. Kanye West has been described as a model for hipster hop fashion. His image is described as ""sleekly fashionable, high concept"".",0,0.8046,0.2545,0.2182,0.0,0.3117,0.3235,0.2553
"What is the German name for the shawm, and what was the name for larger members of the shawm family?","In German, the shawm is called Schalmei. Larger members of the family were called Bombard, which later became Pommer.","The German name for the shawm is Schalmei. The larger members of the shawm family were called Bombard, which was later corrupted to Bombhardt and finally Pommer.",0,0.9285,0.6957,0.6957,0.2271,0.7362,0.7159,0.7
"According to the UCLA archive presentation, why is ""filmi"" a more fitting term than ""Bombay melody""?","According to the UCLA archive presentation, ""filmi"" is a more fitting term because it suggests that the exuberant music and melodrama closely identified with the Hindi commercial cinema produced in Bombay (Mumbai) is truly pan-Indian.","At the ""Filmi Melody: Song and Dance in Indian Cinema"" archive presentation at UCLA, ""filmi"" was praised as a generally more fitting term for the tradition than ""Bombay melody."" This is because ""filmi"" suggests that the music and melodrama so closely identified with the Hindi commercial cinema produced in Bombay (Mumbai) is truly pan-Indian.",0,0.8811,0.7033,0.6593,0.3308,0.7698,0.6178,0.6667
What type of pages does this document index?,This page indexes the individual year in music pages.,"This document indexes pages related to musical and keyboard instruments. It includes instruments such as the piano, organ, harpsichord, and virginal.",0,0.4006,0.3333,0.2,0.0,0.2451,0.1643,0.2069
"What song by Wilf Carter was described as ""the kind of cowboy pop that is treasured as a kitsch classic""?","Wilf Carter's 1949 recording ""Bluebird on Your Windowsill"" was described as ""the kind of cowboy pop that is treasured as a kitsch classic.""","Richard Carlin described Wilf Carter's 1949 recording ""Bluebird on Your Windowsill"" as ""the kind of cowboy pop that is treasured as a kitsch classic."" Wilf Carter's songs were also used to score cowboy films. He was also known as ""Montana Slim"".",0,0.879,0.7164,0.6567,0.4627,0.8893,0.6463,0.7719
Name at least five subgenres of drum and bass.,"Drum and bass subgenres include breakcore, ragga jungle, hardstep, darkstep, techstep, neurofunk, ambient drum and bass, liquid funk (also known as liquid drum and bass), jump up, drumfunk, sambass, and drill 'n' bass.","Five subgenres of drum and bass are breakcore, digital hardcore, raggacore, darkstep, and intelligent dance music (IDM). Drum and bass has been fractured into specific subgenres that have been grouped into ""light"" and ""heavy"" styles. There is considerable crossover from the extreme edges of drum and bass, breakcore, darkcore, digital hardcore, and raggacore with fluid boundaries.",0,0.7746,0.2921,0.2697,0.0,0.2567,0.1394,0.2059
"What was the name of the first major British hip hop magazine, and when was it founded?","The first major British hip hop magazine was Hip Hop Connection, founded in 1989.",The first major British hip hop magazine was Hip Hop Connection. It was founded in 1989.,0,0.9882,0.9333,0.9333,0.6739,0.9022,0.9344,0.88
How do European raggatek and jungletek often sound?,European raggatek and jungletek are often recognizable by their energetic eletro sounds in the bass lines and synth melodies.,"European raggatek and jungletek are often recognizable by their energetic electro sounds in the bass lines and synth melodies. Jungletek works on the same formula as raggatek, replacing the ragga elements with those from jungle and DnB. It is less known for the vocal arrangements and more for its bass lines.",0,0.8496,0.5143,0.5143,0.2997,0.7413,0.4957,0.5667
What elements are often incorporated alongside traditional hip hop production techniques in Jewish hip hop?,"Elements of reggae, klezmer, and other world music are often incorporated alongside traditional hip hop production techniques in Jewish hip hop.","Jewish hip hop often incorporates elements of reggae, klezmer, and other world music. These elements are incorporated alongside traditional hip hop production techniques. These techniques include cutting, scratching, sampling, looping, and beatboxing.",0,0.9111,0.7547,0.6038,0.3193,0.6938,0.6032,0.7234
What lyrical themes are common in gothic country?,The genre's lyrics focus on macabre and grim subject matters.,Gothic country lyrics often focus on dark subject matters. The lyrics can also deal with macabre and grim themes. Some lyrical themes include apocalyptic religious imagery and haunting themes.,0,0.6698,0.45,0.3,0.0,0.5784,0.601,0.5
What constitutes the Jungle Terror genre?,"Jungle Terror is often described as a ""chaotic"" mix of house with grime and drum 'n' bass rhythms, including animal noises as well as vocal cuts and percussions.","I am sorry, but the provided context does not contain information about the Jungle Terror genre.",0,0.6522,0.0909,0.0909,0.0,0.07,-0.0615,0.1
"According to Thai academic Prayut Wannaudom, what are some negative aspects of modern mor lam?","Thai academic Prayut Wannaudom has argued that modern mor lam is increasingly sexualised and lacking in the moral teachings which it traditionally conveyed, and that commercial pressures encourage rapid production and imitation rather than quality and originality.",Thai academic Prayut Wannaudom argues that modern mor lam is increasingly sexualized and lacks the moral teachings it traditionally conveyed. He also believes that commercial pressures encourage rapid production and imitation rather than quality and originality.,0,0.979,0.8767,0.8767,0.5711,0.8353,0.8949,0.7879
"According to the document, where was the crumhorn apparently little used?","According to the document, the crumhorn was apparently little used in England and France.","I am sorry, but the document does not mention where the crumhorn was little used. Therefore, I cannot answer your question.",0,0.8363,0.4,0.4,0.0,0.3034,0.3372,0.25
Name two modern makers of replica chalumeaux.,Peter van der Poel and Andreas Schöni are two modern makers of replica chalumeaux.,"Peter van der Poel and Andreas Schöni are two modern makers of replica chalumeaux. Other makers include R. Tutz, François Masson, and Guntram Wolf. There are also other makers that produce modern adaptations of the chalumeau.",0,0.8711,0.566,0.566,0.3611,0.7494,0.6207,0.6512
What is the lever that engages or disengages the snares called?,The strainer.,The lever that engages or disengages the snares is called the strainer. It also permits adjustment of the snare tension. Most snare drums have this lever.,0,0.3799,0.1429,0.1429,0.0,0.2273,0.1938,0.1667
When did gospel music become popular in Brazil?,Gospel music became popular in Brazil in the late 1990s.,Gospel music became popular in Brazil in the late 1990s. This was due to the emergence of congregational singing and bands such as Diante do Trono. Diante do Trono became the largest contemporary worship music ministry in Latin America.,0,0.8056,0.4082,0.4082,0.2248,0.4926,0.5261,0.45
What types of music have had a formative influence on country music?,"Many traditions, including Mexican, Irish, and Hawaiian music, have had a formative influence on country music. Blues modes from blues music have been used extensively throughout its history as well.","Appalachian music, Cajun music, New Mexico music, and western music have all had a formative influence on country music. The folk music and instruments of Europe and the Mediterranean Basin, Native American, Mexican, and cowboy ballads have also been influential. Additionally, the steel guitar sound of country music has its roots in the music of Hawaii.",0,0.7115,0.3488,0.3256,0.1242,0.3694,0.4426,0.4058
What are some characteristics of big room electro house?,"Big room songs resemble Dutch house, often incorporating drops, minimalist percussion, regular beats, sub-bass layered kicks, simple melodies and synth-driven breakdowns.","Big room electro house songs often incorporate drops, minimalist percussion, regular beats, sub-bass layered kicks, simple melodies, and synth-driven breakdowns. The layout of a big room track is very similar to the layout of a typical electro house song. Big room gained popularity in the early 2010s.",0,0.8104,0.5833,0.5556,0.2108,0.7156,0.6544,0.5614
"According to the document, what topics do mumble rappers generally rap about?","Drugs, sex, money, jewelry, designer clothing, and partying.","Mumble rap lyrics often cover braggadocio, nihilism, sex, and narcotics. The subgenre is characterized by simplistic, bass-heavy beats paired with these lyrical themes. The music takes inspiration from other rap scenes.",0,0.1823,0.1,0.1,0.0,0.0971,0.1622,0.1081
"What happened at one of Luigi Russolo's performances in Milan, Italy in 1914?",A riot broke out.,Luigi Russolo's works entitled Risveglio di una città (Awakening of a City) and Convegno d'aeroplani e d'automobili (The Meeting of Aeroplanes and Automobiles) were performed for the first time in 1914. A performance of his Gran Concerto Futuristico (1917) was met with strong disapproval and violence from the audience.,0,0.0529,0.0357,0.0357,0.0,0.0588,-0.0859,0.0426
"Besides vocals, name five instruments that may be featured in bush bands.","Instruments featured in bush bands may include fiddle, accordion, guitar, banjo, and mandolin.","Instruments that may be featured in bush bands include fiddle, accordion, guitar, banjo, and mandolin. Other instruments include concertina, harmonica, lagerphone, bush bass, double bass, tin whistle, and bodhrán. Electric bass guitar or electric guitar have also been used since the 1970s.",0,0.92,0.4643,0.4286,0.1976,0.682,0.5456,0.5417
"How did the popular press portray hardcore rap, according to Russell Potter?","According to Russell Potter, the popular press associated hardcore rap with a monolithic 'gangsta' outlook.","Russell Potter wrote that the popular press has associated hardcore rap with a ""monolithic 'gangsta' outlook."" However, hardcore rappers have ""laid claim to a wide variety of ground"". This suggests that the popular press may have oversimplified the genre.",0,0.9303,0.5185,0.4815,0.1279,0.4591,0.5105,0.4783
What is Historically Informed Performance (HIP) in the context of Baroque violins?,"Typically, period instrument players attempt to learn the style and aesthetic appropriate to the music and instruments in period treatises and facsimile editions. This practice is referred to as Historically Informed Performance (HIP).",Historically Informed Performance (HIP) is the practice of attempting to learn the style and aesthetic appropriate to the music and instruments in period treatises and facsimile editions. This practice is used by period instrument players. They try to recreate a Baroque-style technique by relying on documentary evidence.,0,0.8391,0.7407,0.5679,0.478,0.8076,0.6242,0.6562
During which periods was the virginals popular in Europe?,The virginals was popular in Europe during the late Renaissance and early Baroque periods.,The heyday of the virginals was the latter half of the 16th century to the later 17th century. It was eclipsed in England by the bentside spinet and in Germany by the clavichord.,0,0.6099,0.2553,0.2553,0.0,0.2201,0.2077,0.2778
What are some Christian music awards shows that have added rap and hip-hop categories?,The GMA Dove Awards and Stellar Awards have added rap and hip-hop categories.,Christian music awards shows such as the GMA Dove Awards and Stellar Awards have added rap and hip-hop categories.,0,0.8731,0.8235,0.8235,0.5978,0.9557,0.7228,0.8148
How do some Germans view Schlager music?,Some Germans view schlager as their country music.,Some Germans view schlager as their country music. American country and Tex-Mex music are both major elements in schlager culture.,0,0.8854,0.5517,0.5517,0.3467,0.7634,0.6447,0.6154
What compilation album reintroduced the Belgian sound to the United States market in 1989?,"The Belgian sound was re-introduced to the United States market in 1989 through a compilation album known as This Is the New Beat, released through Polygram Records.","I am sorry, but this question cannot be answered from the given source. The provided text does not mention a compilation album reintroducing the Belgian sound to the United States market in 1989.",0,0.8344,0.4918,0.3279,0.1996,0.4599,0.394,0.4444
How does a lute player change the pitch of a string?,"By pressing the strings on different places of the fingerboard, the player can shorten or lengthen the part of the string that is vibrating, thus producing higher or lower pitches (notes).","A lute player changes the pitch of a string by pressing it against the fingerboard, shortening the vibrating part of the string. This increases the frequency and thus the pitch. The strings are also attached to pegs that can be tightened or loosened to change the tension.",0,0.6774,0.5385,0.3077,0.0,0.3899,0.4552,0.4194
"What is ""nation-conscious rap""?","""Nation-conscious rap"" is a term used to describe conscious hip hop music with certain strong political messages and themes, especially Black empowerment themes.","""Nation-conscious rap"" is a term used to describe conscious hip hop music with strong political messages and themes, especially Black empowerment themes. It is a subgenre of hip hop that challenges the dominant cultural, social, political, philosophical, and economic consensus. Conscious hip hop often seeks to raise awareness of social issues.",0,0.9585,0.6053,0.6053,0.3813,0.8127,0.708,0.6875
When did grindie music emerge?,Grindie music emerged in early 2006.,"Grindie music emerged in early 2006. It is a fusion of indie rock or alternative rock and grime music. The first grindie song, ""Stay Off the Kane"", was released in 2005.",0,0.667,0.3243,0.3243,0.1478,0.6013,0.5012,0.3636
List some film soundtracks that feature space music.,"Film soundtracks that feature space music include the Vangelis score to Blade Runner, Tangerine Dream's soundtracks for Legend, Sorcerer and Risky Business, Jonn Serrie's score for Hubble: Galaxies Across Space and Time, Brian Eno's score for For All Mankind, and Michael Stearns' soundtrack for Chronos.","Film soundtracks that feature space music include Forbidden Planet (1956), Solaris (1972), Blade Runner (1982), Dune (1984), Heathers (1988), Akira (1988), and Titanic (1997). Other examples are Traffic (2000), Donnie Darko (2001), Solaris (2002), The Passion of the Christ (2004), Pride & Prejudice (2005), and The Social Network (2010). There are also Her (2013), Enemy (2013), Drive (2011), Interstellar (2014), Gone Girl (2014), The Revenant (2015), Columbus (2017), Mandy (2018), Annihilation (2018), Ad Astra (2019), Chernobyl (2019), and Dune (2021).",0,0.686,0.2047,0.189,0.0785,0.1758,-0.062,0.1961
"According to Lupe Fiasco, what is his opinion of Chief Keef?","According to rapper Lupe Fiasco, Chief Keef scares him, not him specifically, but just the culture that he represents.","Lupe Fiasco said that Chief Keef scares him, not specifically, but the culture that he represents. He also mentioned that the murder rate in Chicago is skyrocketing, and the people doing it look like Chief Keef. After Chief Keef threatened Fiasco on Twitter, Fiasco considered quitting the music scene.",0,0.8367,0.4118,0.4118,0.1533,0.4929,0.5101,0.4561
Name some prominent hip hop artists who incorporated 'boom bap' in their music.,"Prominent hip hop artists who incorporated ""boom bap"" in their music include Gang Starr, KRS-One, A Tribe Called Quest, Wu-Tang Clan, MF DOOM, Mobb Deep, Craig Mack, R.A. the Rugged Man, Big L, Boot Camp Clik, Griselda, Jay-Z, Common, Yasiin Bey, Nas, and The Notorious B.I.G.","Prominent hip-hop artists who incorporated ""boom bap"" in their music include Gang Starr, KRS-One, A Tribe Called Quest, Wu-Tang Clan, MF DOOM, Mobb Deep, and many others. The list also includes Craig Mack, R.A. the Rugged Man, Big L, Boot Camp Clik, Griselda, Jay-Z, Common, Yasiin Bey, Nas, and The Notorious B.I.G.",0,0.9869,0.9369,0.9369,0.7956,0.9441,0.8971,0.9149
What term did Schaeffer favor after delaying the publication of his manifesto?,"Publication of Schaeffer's manifesto was delayed by four years, by which time Schaeffer was favoring the term ""recherche musicale"" (music research), though he never wholly abandoned ""musique expérimentale"".","The provided text does not mention Schaeffer delaying the publication of his manifesto. Therefore, I cannot answer your question.",0,0.6518,0.2449,0.1224,0.0,0.1373,0.095,0.1818
What dance styles are associated with House Music?,"At least three styles of dancing are associated with house music: Jacking, Footwork, and Lofting.","At least three styles of dancing are associated with house music: Jacking, Footwork, and Lofting. These styles include a variety of techniques and sub-styles, such as skating, stomping, and shuffle steps. House music dancing styles can include movements from many other forms of dance, like waacking, voguing, and jazz.",0,0.9448,0.4615,0.4615,0.2833,0.7272,0.6395,0.5556
Where is Country and Irish music less popular?,It is less so in urban areas or in the South-West where more traditional Irish music is favoured.,"I am sorry, but the provided context does not specify where Country and Irish music is less popular. The text discusses the development and popularity of these genres in Canada.",0,0.7114,0.2857,0.2041,0.0,0.2982,0.2171,0.3256
What years are included in the decade mentioned?,The years 1510–1519 are included in the decade mentioned.,The decade mentioned is the 1980s. The text discusses music from the 1980s.,0,0.5166,0.3478,0.2609,0.0,0.1596,0.2202,0.2353
What are some examples of psychedelic trance subgenres?,"Examples of psychedelic trance subgenres include full on, darkpsy, forest, minimal (Zenonesque), hitech psy, progressive, suomi, psy-chill, psycore, psybient, and psybreaks.","Dark psytrance is a subgenre of psychedelic trance. It is characterized by heavier sounds, faster tempos, and often samples horror films.",0,0.5937,0.2326,0.186,0.0,0.1503,0.0276,0.1463
What is bluegrass music?,Bluegrass music is a genre of American roots music that developed in the 1940s in the Appalachian region of the United States.,Bluegrass music is a genre of American roots music that developed in the 1940s in the Appalachian region of the United States. The genre is named after Bill Monroe and the Blue Grass Boys. It is traditionally played exclusively on acoustic instruments and developed out of old-time music.,0,0.9471,0.6197,0.6197,0.4403,0.7526,0.7233,0.6538
"What does the term 'crunk' mean, and from where does it originate?","The word 'crunk' derives from its African-American Vernacular English past-participle form, ""crunk"", of the verb ""to crank"" (as in the phrase ""crank up""). It refers to being excited or high on drugs.","The term ""crunk"" originates from African-American Vernacular English, from the verb ""to crank,"" meaning to be excited or high on drugs. It is often used to describe something that is hyped-up or energetic. In the early 2000s, the term also came to mean ""crazy drunk.""",0,0.9321,0.5432,0.4444,0.1238,0.4207,0.4894,0.4242
Who is DMX?,DMX is mentioned as one of the rappers from New York City that pioneered a grittier sound known as hardcore hip hop.,DMX is a rapper who enjoyed commercial success with a grittier style. He achieved commercial success in the 1990s. He is mentioned alongside other rappers like Eminem and 50 Cent.,0,0.8384,0.2692,0.1923,0.0,0.2511,0.4224,0.3043
"According to Adam Harper, what is a typical vaporwave track?","According to Academic Adam Harper, the typical vaporwave track as ""a wholly synthesised or heavily processed chunk of corporate mood music, bright and earnest or slow and sultry, often beautiful, either looped out of sync and beyond the point of functionality.""","According to Adam Harper, vaporwave does not typically engage in long tracks, lo-fi productions, or non-sampled material. Vaporwave draws more from the early 1990s than the 1970s and 1980s. Vaporwave has a stronger musical connection to chillwave than to hypnagogic pop for its sampling of slowed-down synth funk.",0,0.7524,0.3261,0.1957,0.0,0.1647,0.0882,0.2338
Who is credited with originating the theory and practice of musique concrète?,Pierre Schaeffer is credited with originating the theory and practice of musique concrète.,"The theoretical basis of musique concrète as a compositional practice was developed by French composer Pierre Schaeffer beginning in the early 1940s. Schaeffer began his exploration of radiophony in 1942 and experimented with creative radiophonic techniques. He also kept journals describing his attempt to create a ""symphony of noises"".",0,0.8309,0.3125,0.1562,0.0,0.241,0.3298,0.2909
"Besides metal and punk, what other musical style influenced grindcore?","Besides metal and punk, noise music acts like Swans influenced grindcore.","Grindcore was influenced by abrasive-sounding musical styles, such as thrashcore, crust punk, extreme metal, and industrial. Crust punk had a major impact on grindcore's emergence. The early style is sometimes dubbed ""crustgrind"".",0,0.6355,0.2667,0.1778,0.0,0.1527,0.2126,0.1429
What other element of US hip hop culture spread to the UK?,New York City-style graffiti also spread to London and other UK inner-city areas.,"Early UK rappers imitated the styles and accents of their US heroes. However, some realized that transposing US forms would hinder UK hip-hop's ability to represent a disenfranchised British audience.",0,0.3447,0.1702,0.1277,0.0,0.102,0.2171,0.1463
What term did Pierre Schaeffer begin using in France as early as 1953?,"Pierre Schaeffer had begun using the term musique expérimentale to describe compositional activities that incorporated tape music, musique concrète, and elektronische Musik.","Pierre Schaeffer's compositional work was known publicly as musique concrète by 1949. He initiated ""research in to noises"" at the Club d'Essai in 1948. In 1948, the results of his initial experimentation were premiered at a concert given in Paris.",0,0.7962,0.2388,0.1791,0.0,0.105,0.2576,0.1786
"How many copies of Eyal Barkan's 'Good Morning Israel' were sold, achieving gold status?","Eyal Barkan's album sold more than 20,000 copies, achieving gold status.","Eyal Barkan's album ""Good Morning Israel"" sold more than 20,000 copies and achieved gold status in Israel. Bootleg versions of the album accounted for 80,000 copies. This was the first trance record to achieve gold status in its home country.",0,0.7633,0.4643,0.4643,0.086,0.6191,0.6225,0.3478
Which group released the song 'Coco Jamboo' in 1996?,The German band Mr. President released the song 'Coco Jamboo' in 1996.,"The German band Mr. President released the song ""Coco Jamboo"" in 1996. It was a notable example of a successful Eurodance song of that era.",0,0.8969,0.6486,0.6486,0.2982,0.7417,0.7382,0.5625
"Besides 4/4 time, what other time signatures have been incorporated into Frenchcore music?",The style has recently developed to include different time signatures such as 3/4 and 5/8 and more advanced compositions influenced by classical music.,"I am sorry, but this document does not contain the answer to that question.",0,0.0852,0.1026,0.1026,0.0,0.0452,-0.0098,0.1111
What is the tuning strategy for the viola da gamba and what other instrument uses a similar tuning?,"The viola da gamba is tuned in fourths, with a third in the middle, similar to a lute.","The viola da gamba, or viol, has different tunings depending on the size of the instrument. The tuning strategy allows for fine-tuning of the instrument by using frets that are tied on the fingerboard.  The text provides a table that includes the tuning for different sizes of viol.",0,0.6737,0.209,0.209,0.0,0.203,0.2987,0.1633
Who was the main vocal backing group in the early 1960s Nashville sound?,The Anita Kerr Quartet was the main vocal backing group in the early 1960s.,The main vocal backing group in the early 1960s Nashville sound was the Anita Kerr Quartet. They were vital to the hit-making process. The producers relied on them for their quick adaptability and creative input.,0,0.861,0.56,0.36,0.1977,0.6988,0.5638,0.4651
Who are the Italian DJs who claim to have invented the Afro/cosmic disco genre and mixing style?,Italian DJs Tosi Brandi Claudio and Daniele Baldelli both independently claim to have invented the genre and mixing style.,"Italian DJs Tosi Brandi Claudio and Daniele Baldelli both independently claim to have invented the Afro/cosmic disco genre and mixing style. Baldelli makes a claim to the invention of the cosmic sound. However, Loda counters that no one person invented the genre and style of mixing.",0,0.7669,0.5758,0.5758,0.3797,0.829,0.683,0.6792
"When did the term ""cold wave"" first appear in Sounds magazine?","The term ""cold wave"" appeared in the 26 November 1977 issue of the UK weekly music paper Sounds.","The term ""cold wave"" first appeared in the November 26, 1977, issue of the UK weekly music paper Sounds. The cover picture showed Kraftwerk's Ralf Hütter and Florian Schneider. The caption was ""New musick: The cold wave"".",0,0.789,0.6316,0.5965,0.2844,0.7538,0.5959,0.5833
What is the approximate size range of 13th-century tabors?,The size of these early tabors ranged approximately 11-12 inches in diameter and 4-10 inches in width/depth.,The size of early tabors in the 13th century ranged approximately 11-12 inches in diameter and 4-10 inches in width/depth. These tabors were larger across their diameter. The tabor continued to evolve with time.,0,0.8339,0.7018,0.6667,0.3497,0.8891,0.6723,0.6977
"Besides the United States, name two other countries where alternative hip-hop artists have gained recognition.","Somalia (through the Somali-Canadian poet K'naan) and Britain (through the British artist M.I.A.) are two countries where alternative hip-hop artists have gained recognition, besides the United States.","Alternative hip-hop has expanded beyond the United States to include the Somali-Canadian poet K'naan and the British artist M.I.A. K'naan's single ""Wavin' Flag"" topped the charts in several countries.",0,0.7012,0.5882,0.4118,0.0,0.3716,0.4915,0.36
What role did Herbie Hancock's 'Future Shock' album play in defining nu jazz?,"Herbie Hancock's work in the early 1980s, particularly his collaboration with Bill Laswell on the album Future Shock, played a pivotal role in defining the genre by incorporating electro and hip-hop rhythms.","Herbie Hancock's collaboration with Bill Laswell on the album 'Future Shock' played a pivotal role in defining nu jazz. It incorporated electro and hip-hop rhythms, contributing to the genre's development. This album was significant in the early 1980s.",0,0.8598,0.8,0.64,0.3517,0.6554,0.7284,0.6032
How does the 'live sound' relate to the classification of tribal house music?,Tracks are usually classified or perceived as tribal because of their live sound.,Tribal house tracks are often classified or perceived as tribal because of their live sound. This music is reminiscent of the Indigenous music of various tribes of Africa and South America. Tribal music can be produced with either live or digital instrumentation.,0,0.818,0.4364,0.4364,0.2131,0.5363,0.5001,0.5217
Which group was involved in the British collaboration that created 'Rok da House'?,The British collaboration involved the electronic group Beatmasters and the rap duo Cookie Crew.,"The British collaboration that created ""Rok da House"" involved the electronic group Beatmasters and the rap duo Cookie Crew. ""Rok da House"" is possibly the first hip house single.",0,0.5098,0.6512,0.6512,0.3919,0.8468,0.6366,0.6857
What are the major outlets of skweee music?,The major outlets of skweee music are the Swedish record label Flogsta Danshall and Finnish record label Harmönia.,"The major outlets of skweee music are the Swedish record label Flogsta Danshall and the Finnish record label Harmönia. Other outlets include Norwegian Dødpop, Canadian Ancient Robot, US Losonofono, US Titched, US Poisonous Gases, Spanish Lo Fi Funk, Finnish Mässy, and French Mazout. The preferred media format of skweee enthusiasts is the 7"" vinyl record.",0,0.934,0.4935,0.4935,0.2773,0.7584,0.4816,0.5263
